#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 5100.000242 -2.344869 0.458286 -0.239611
 5110.000243 -1.140038 2.076171 -0.198964
 5120.000243 -2.164923 0.781391 0.049499
 5130.000244 -1.171126 0.833451 -0.209095
 5140.000244 -1.126439 0.685766 -0.073757
 5150.000245 -1.629546 2.730698 0.165069
 5160.000245 -1.205066 0.679919 0.123407
 5170.000246 -1.627849 2.781811 -0.122812
 5180.000246 -1.318056 1.247037 0.015841
 5190.000247 -1.536856 1.396598 -0.212543
 5200.000247 -2.124974 2.033897 -0.101875
 5210.000247 -1.234101 0.873554 -0.092034
 5220.000248 -1.826345 2.558061 -0.107879
 5230.000248 -1.204073 1.170438 -0.100211
 5240.000249 -1.901439 2.126199 0.026414
 5250.000249 -1.381404 1.037417 0.124658
 5260.000250 -1.198177 0.076457 0.287333
 5270.000250 -1.291016 2.558376 -0.161892
 5280.000251 -2.655464 3.089932 0.213951
 5290.000251 -1.891248 2.808666 -0.172902
 5300.000252 -1.281801 0.628267 -0.000631
 5310.000252 -2.625187 3.008613 -0.223061
 5320.000253 -2.277959 1.992194 0.209111
 5330.000253 -1.074442 0.207519 -0.014114
 5340.000254 -1.305577 0.627982 0.042298
 5350.000254 -2.198372 1.984256 -0.228019
 5360.000255 -2.512980 2.585506 0.223719
 5370.000255 -2.908644 -2.705456 0.048373
 5380.000256 -2.325989 2.694171 -0.190618
 5390.000256 -2.534635 2.598983 0.051043
 5400.000256 -1.407558 0.552315 0.319217
 5410.000257 -1.305460 1.947975 -0.044868
 5420.000257 -2.610594 3.079424 -0.514843
 5430.000258 -2.350986 2.959624 0.063965
 5440.000258 -1.692386 1.012905 -0.356141
 5450.000259 -2.062434 2.343617 0.319571
 5460.000259 -2.708346 2.884999 0.045287
 5470.000260 -1.288908 2.407475 -0.423006
 5480.000260 -2.085711 2.942311 0.112264
 5490.000261 -1.335609 1.020860 0.237598
 5500.000261 -1.254364 0.931713 -0.257610
 5510.000262 -1.118419 2.971266 -0.350655
 5520.000262 -1.660219 1.087885 0.204502
 5530.000263 -2.394736 2.480989 -0.229039
 5540.000263 -2.324089 2.262474 -0.004788
 5550.000264 -1.314295 1.833402 0.089765
 5560.000264 -1.620359 2.105457 0.002832
 5570.000265 -1.606849 2.045741 -0.015291
 5580.000265 -1.967205 0.911525 -0.037515
 5590.000266 -2.289071 2.577619 -0.053161
 5600.000266 -1.539562 0.623337 -0.211188
 5610.000266 -2.414270 1.042459 -0.247659
 5620.000267 -1.716516 1.063614 0.128168
 5630.000267 -1.476438 2.723796 -0.047931
 5640.000268 -1.922790 0.802678 0.236186
 5650.000268 -2.306000 2.233710 0.396535
 5660.000269 -1.540360 0.097723 -0.037456
 5670.000269 -2.506505 2.136515 -0.178864
 5680.000270 -1.227077 0.091088 -0.005228
 5690.000270 -1.347982 2.296426 -0.273564
 5700.000271 -1.558584 0.806318 -0.171913
 5710.000271 -1.710099 0.406092 0.348585
 5720.000272 -2.035635 2.749709 -0.412794
 5730.000272 -1.009662 -0.171103 0.045596
 5740.000273 -1.223710 2.315809 -0.317938
 5750.000273 -1.036754 2.748817 -0.145212
